feature,avg_xgb_shap_across_assets
us10y_yield,0.04483575
regime_confidence,0.022498749999999998
us_cpi_yoy,0.017874
eurusd_return,0.01632275
spx_return,0.0159295
gbpusd_return,0.010546
gold_return,0.01008075
spx_vol_3m,0.008285
ecb_level,0.007980000000000001
high_yield_spread,0.00724075
vix_level,0.0071535
us2y_yield,0.006283250000000001
ndx_return,0.0043714999999999995
yield_spread,0.0039505
ecb_yoy,0.0013085
regime_label_credit_stress,0.0008472499999999999
regime_label_inflation_stress,0.0005157499999999999
regime_label_calm,0.00026000000000000003
regime_label_crisis,0.00021224999999999998
