feature,coefficient,abs_coefficient,direction
us2y_yield,0.0,0.0,zero
us10y_yield,0.0,0.0,zero
yield_spread,0.0,0.0,zero
us_cpi_yoy,0.0,0.0,zero
high_yield_spread,0.0,0.0,zero
vix_level,0.0,0.0,zero
spx_vol_3m,0.0,0.0,zero
eurusd_return,0.0,0.0,zero
gbpusd_return,0.0,0.0,zero
spx_return,0.0,0.0,zero
ndx_return,0.0,0.0,zero
gold_return,0.0,0.0,zero
ecb_level,0.0,0.0,zero
ecb_yoy,0.0,0.0,zero
regime_confidence,0.0,0.0,zero
regime_label_calm,0.0,0.0,zero
regime_label_credit_stress,0.0,0.0,zero
regime_label_crisis,0.0,0.0,zero
regime_label_inflation_stress,0.0,0.0,zero
__intercept__,0.006113897463677366,0.006113897463677366,positive
