"DATE","TIME PERIOD","EURO STOXX 50 Equity Index - Historical close, average of observations through period (FM.A.U2.EUR.DS.EI.DJES50I.HSTA)"
"1986-12-31","1986","900.8200000"
"1987-12-31","1987","851.0130651"
"1988-12-31","1988","753.1903065"
"1989-12-31","1989","956.4061538"
"1990-12-31","1990","1022.2596935"
"1991-12-31","1991","982.3017625"
"1992-12-31","1992","1028.5158779"
"1993-12-31","1993","1205.3475096"
"1994-12-31","1994","1363.5778846"
"1995-12-31","1995","1388.0560769"
"1996-12-31","1996","1657.4809542"
"1997-12-31","1997","2319.5937548"
"1998-12-31","1998","3076.1399234"
"1999-12-31","1999","3787.4016705"
"2000-12-31","2000","5075.6582308"
"2001-12-31","2001","4049.5851418"
"2002-12-31","2002","3052.5281916"
"2003-12-31","2003","2422.6594943"
"2004-12-31","2004","2804.8106260"
"2005-12-31","2005","3208.6024538"
"2006-12-31","2006","3795.3887577"
"2007-12-31","2007","4315.7756973"
"2008-12-31","2008","3319.5329427"
"2009-12-31","2009","2520.9805346"
"2010-12-31","2010","2779.2886318"
"2011-12-31","2011","2610.9631323"
"2012-12-31","2012","2411.9405058"
"2013-12-31","2013","2793.9603711"
"2014-12-31","2014","3145.2667383"
"2015-12-31","2015","3444.0718988"
"2016-12-31","2016","3003.6701868"
"2017-12-31","2017","3490.9514219"
"2018-12-31","2018","3386.6446953"
"2019-12-31","2019","3435.1684336"
"2020-12-31","2020","3274.2660078"
"2021-12-31","2021","4023.6198798"
"2022-12-31","2022","3756.9713113"
"2023-12-31","2023","4271.9812969"
"2024-12-31","2024","4870.3741946"
"2025-12-31","2025","5396.9375742"
