feature,importance
regime_label_credit_stress,0.1297415
vix_level,0.08229284
eurusd_return,0.07687423
us_cpi_yoy,0.07167837
ndx_return,0.07083091
regime_label_crisis,0.06764175
gold_return,0.063254796
ecb_level,0.059829798
high_yield_spread,0.057184014
us10y_yield,0.049736544
spx_return,0.04363416
regime_confidence,0.043230206
spx_vol_3m,0.03673556
gbpusd_return,0.03279457
ecb_yoy,0.02917637
yield_spread,0.028392319
us2y_yield,0.022816658
regime_label_inflation_stress,0.019026598
regime_label_calm,0.015128812
