alpha,l1_ratio,mean_directional_accuracy,mean_rmse,mean_r2,selection_score
0.03,0.2,0.6944444444444444,0.03232064454763352,-0.13487082924630142,0.6928284122170627
0.01,0.95,0.6851851851851851,0.03205234950423747,-0.12306089466240236,0.6835825677099733
0.01,0.8,0.6851851851851851,0.03211669042542636,-0.125080131729426,0.6835793506639138
0.03,0.5,0.6759259259259259,0.03205199168541822,-0.1253432441770643,0.674323326341655
0.03,0.8,0.6759259259259259,0.03205199168541822,-0.1253432441770643,0.674323326341655
0.03,0.95,0.6759259259259259,0.03205199168541822,-0.1253432441770643,0.674323326341655
0.1,0.2,0.6759259259259259,0.03205199168541822,-0.1253432441770643,0.674323326341655
0.1,0.5,0.6759259259259259,0.03205199168541822,-0.1253432441770643,0.674323326341655
0.1,0.8,0.6759259259259259,0.03205199168541822,-0.1253432441770643,0.674323326341655
0.1,0.95,0.6759259259259259,0.03205199168541822,-0.1253432441770643,0.674323326341655
0.1,0.05,0.6759259259259259,0.0326745176812504,-0.15906851994033333,0.6742922000418634
0.01,0.5,0.6666666666666666,0.03278669116612579,-0.16550773853177758,0.6650273321083603
0.003,0.95,0.6203703703703705,0.034378961349829304,-0.29390316570129077,0.618651422302879
0.003,0.8,0.6111111111111112,0.0349002435071354,-0.3493686671170982,0.6093660989357544
0.01,0.2,0.5833333333333334,0.03539056160088326,-0.403587696648754,0.5815638052532892
0.03,0.05,0.5555555555555556,0.035910712558251984,-0.482209862840726,0.553760019927643
0.003,0.5,0.5555555555555556,0.03642049222290275,-0.5347661563310947,0.5537345309444105
0.001,0.95,0.5555555555555556,0.037649753303736155,-0.7273081110085976,0.5536730678903687
0.0001,0.95,0.5555555555555556,0.04061498694901642,-1.1713768676789715,0.5535248062081047
0.001,0.05,0.5555555555555556,0.04076109382035084,-1.186315042767479,0.553517500864538
0.0003,0.5,0.5555555555555555,0.040323911353911605,-1.113828397939084,0.5535393599878599
0.0003,0.95,0.5462962962962963,0.03995336811987435,-1.0268621161490377,0.5442986278903026
0.0003,0.8,0.5462962962962963,0.04004301653219747,-1.0484785110445538,0.5442941454696864
0.001,0.2,0.5462962962962963,0.04005870129508207,-1.056141649208441,0.5442933612315421
0.0001,0.8,0.5462962962962963,0.04068929951013551,-1.1848906558353758,0.5442618313207895
0.0003,0.2,0.5462962962962963,0.04078199179887683,-1.1991625150443799,0.5442571967063524
0.001,0.5,0.537037037037037,0.039505185095820565,-0.957962953498853,0.535061777782246
0.003,0.05,0.537037037037037,0.040012526321193384,-1.046895298067102,0.5350364107209773
0.0001,0.5,0.537037037037037,0.04087112544491337,-1.2187552677195217,0.5349934807647914
3e-05,0.5,0.537037037037037,0.04114175974339379,-1.2687478306429782,0.5349799490498673
1e-05,0.95,0.537037037037037,0.041192429643790815,-1.277813554658081,0.5349774155548475
1e-05,0.8,0.537037037037037,0.04120545476279613,-1.280072063818495,0.5349767642988972
0.0001,0.05,0.537037037037037,0.04121881060051809,-1.2807153479261513,0.5349760965070111
3e-05,0.2,0.537037037037037,0.041223660465524725,-1.2827441491689322,0.5349758540137608
0.001,0.8,0.5277777777777779,0.03834106360505549,-0.8186958661998891,0.5258607245975251
0.01,0.05,0.5277777777777778,0.03889734947888911,-0.8833107271004906,0.5258329103038334
1e-05,0.5,0.5277777777777778,0.04123650248588463,-1.2852754551288006,0.5257159526534836
3e-05,0.05,0.5277777777777778,0.04125698557483173,-1.2886165199017134,0.5257149284990362
1e-05,0.2,0.5277777777777778,0.04125910700774517,-1.2892198591201134,0.5257148224273905
1e-05,0.05,0.5277777777777778,0.04127522111974322,-1.2919182285181787,0.5257140167217906
3e-05,0.95,0.5277777777777777,0.04103335951103401,-1.2497545313250005,0.525726109802226
3e-05,0.8,0.5277777777777777,0.04106781046926881,-1.255907392887536,0.5257243872543143
0.0003,0.05,0.5277777777777777,0.04109598725751745,-1.2565191141870118,0.5257229784149018
0.0001,0.2,0.5277777777777777,0.04108838852396327,-1.258382076868334,0.5257233583515795
0.003,0.2,0.5,0.039075608637537104,-0.9185009035218464,0.49804621956812317
